Madde No,Başlık,İçerik
11,,"(1) Teşvik belgeleri kapsamında yapılacak yatırım cinsleri komple yeni, tevsi, modernizasyon, ürün çeşitlendirme, entegrasyon ve nakilden oluşur. (2) Komple yeni, tevsi, modernizasyon ve ürün çeşitlendirme cinslerindeki yatırımların aynı il sınırları içinde olması gerekir. (3) Yatırımın karakteristiği gereği muhtelif illerde olması gereken yatırım konuları için ikinci fıkra hükmü uygulanmaz. (4) Teşvik belgesi kapsamı yatırımın bir bölümünün yatırım yeri ya da konusu açısından kalan kısma görece daha yüksek destek oran ve sürelerde desteklenebilecek durumda olması halinde yatırımın tamamı görece daha düşük oran ve süreler dikkate alınarak desteklenir. Stratejik Hamle Programı"
12,,"(1) Genel Müdürlük Stratejik Hamle Programı kapsamında sunulan desteklerden faydalanmak isteyen yatırımcıların müracaatlarını Kararın 8 inci maddesinin üçüncü fıkrasında belirtilen kriterler çerçevesinde ön değerlendirmeye tabi tutar. Kararda bahsi geçen fıkranın (a) bendine ilişkin değerlendirme EK-1’de belirtilen listeye göre, (c) bendine ilişkin değerlendirme EK-2’de belirtilen yönteme göre yapılır. (2) Stratejik Hamle Programı kapsamında değerlendirilmek üzere yapılan müracaatlar, Kararın 8 inci maddesinin üçüncü fıkrasında belirtilen kriterleri sağladığını tevsik eden bilgi, belge ve raporları ihtiva etmelidir. (3) Genel Müdürlük; ön değerlendirme neticesinde Kararın 8 inci maddesinin üçüncü fıkrasında belirtilen beş kriterden üçünü sağladığı tespit edilen projeleri fizibilite raporu hazırlanmasını teminen, protokol imzalanan ve yatırımcının tercih ettiği bir kalkınma ve yatırım bankasına iletir. Proje ile ilgili bilgi ve belgeler, eş zamanlı olarak arz güvenliği değerlendirmesinin yapılmasını teminen Bakanlık Sanayi Genel Müdürlüğüne iletilir. (4) Genel Müdürlük; fizibilite raporunu, Bakanlık Sanayi Genel Müdürlüğü değerlendirmesini ve diğer bilgi ve belgeler çerçevesinde değerlendirme raporunu Komiteye sunar. (5) Projenin değerlendirilmesine esas teşkil etmek üzere diğer kurum ve kuruluşlardan bilgi ve belge temin edilebilir. (6) Stratejik Hamle Programı kapsamında desteklenecek projelerin ve sağlanacak destek unsurlarının belirlenmesine ilişkin nihai karar yetkisi Komiteye aittir. Komite, fizibilite raporu ve EK-3’te yer alan puanlama tablosunda belirtilen kriterler çerçevesinde değerlendirme yapmak üzere tüm üyelerin katılımı ile toplanır. Her bir üye tarafından 100 puan üzerinden yapılan puanlama sonucunda, üyelerin yarısından fazlasının 70 ve üzeri puan vermesi ve projeye ilişkin puan ortalamasının en az 70 olması durumunda proje olumlu sonuçlandırılabilir. (7) Komite tarafından Stratejik Hamle Programı kapsamında desteklenmesine karar verilen yatırım projeleri için Genel Müdürlükçe teşvik belgesi düzenlenir. (8) Yatırımın kapasite, katma değer, nihai ürün gibi karakteristik niteliklerinde değişikliğe yol açan revize talepleri Komite tarafından değerlendirilir ve uygun bulunan talepler Genel Müdürlükçe sonuçlandırılır. (9) Genel Müdürlükçe gerçekleştirilen ön değerlendirmede kullanılan verilerin piyasa şartları gereği bilahare değişmesi durumunda, desteklerle ilgili herhangi bir değişiklik yapılmaksızın teşvik belgesi geçerliliğini muhafaza eder. (10) Üçüncü fıkra kapsamında hazırlanacak fizibilite raporunun formatı ve kapsamı ile uygulamadaki diğer esaslar, Genel Müdürlük ile kalkınma ve yatırım bankaları arasında imzalanan protokol ile belirlenir. Başlamış işlemler ve mahrece iade"
13,,"(1) Yatırım süresi içinde ilgili kambiyo mevzuatında yer alan ödeme şekillerinden herhangi biri ile ithalat işlemlerine başlanılmış veya bedeli kısmen ya da tamamen ödenmiş ancak ithalatı gerçekleştirilememiş makine ve teçhizatın ithaline, gümrük idarelerince belge kapsamında sağlanan destek unsurları uygulanmak suretiyle izin verilir. Bu şekilde ithalatı yapılan makine-teçhizat, teşvik belgesinde kayıtlı diğer destek unsurlarından da faydalandırılır. (2) Teşvik belgesinin yatırım süresi içinde; a) Evsafa uygun çıkmaması sonucu, eşyanın serbest dolaşıma girişini müteakip garanti süresi içinde yurt dışına iade edilecek makine ve teçhizatın, b) Tamir, bakım veya diğer nedenlerle yurt dışına gönderilecek makine ve teçhizatın, mahrece iade işlemleri için doğrudan gümrük idaresine müracaat edilir. Bu yöndeki talepler ilgili gümrük idaresince, gümrük mevzuatı çerçevesinde sonuçlandırılır. Kullanılmış komple tesis ve kullanılmış makine ve teçhizat ithali"
14,,"(1) Kullanılmış komple tesislerin (karayolu nakil vasıtaları hariç) ithaline yönelik talepler, Genel Müdürlükçe proje bazında değerlendirilir. Teşvik belgesi kapsamında ithaline izin verilen bu tesisler, yatırım konusuna bağlı olarak yardımcı tesislerden bağımsız, bir mal veya hizmeti üretebilecek komple bir hattan veya teşvik belgesinde kayıtlı üretimi yapabilecek bir veya birden fazla makine ve teçhizattan da oluşabilir. Kapasite artışı oluşturmayan ve mevcut bir üretim hattında gerçekleştirilen tamamlama niteliğindeki makine grupları yatırımları kullanılmış komple tesis olarak değerlendirilmez. Farklı firmalardan temin edilen münferit makine ve teçhizat ile tesis oluşturulamaz ve söz konusu tesislerin revizyon ve ticareti ile iştigal eden firmalardan da teşvik belgesi kapsamında ithalat yapılamaz. (2) Kullanılmış komple tesis taleplerinin değerlendirilebilmesi için yatırımcıların, tesise ait makine ve teçhizatın model ve imal yıllarını da gösterir dökümlü fatura veya proforma fatura asılları ile birlikte Bakanlığa müracaat etmeleri gerekir. (3) Kullanılmış makine ve teçhizat temininde, Karar hükümleri ve sektörel kısıtlamalar göz önüne alınarak; a) 31/12/2020 tarihli ve 3350 sayılı Cumhurbaşkanı Kararı ile yürürlüğe konulan İthalat Rejimi Kararı uyarınca ilgili yıla ait Kullanılmış veya Yenileştirilmiş Eşya İthalatına İlişkin Tebliğ hükümleri uyarınca ithali mümkün olan makine ve teçhizat (karayolu nakil vasıtaları hariç), b) İthalat Rejimi Kararının 7 nci maddesi uyarınca ithaline izin verilen makine ve teçhizat, teşvik belgesi kapsamında ithal edilebilir. (4) Kullanılmış olarak ithal edilen makine ve teçhizatın amacı dışında kullanılması halinde sağlanan destekler ilgili mevzuat hükümleri kapsamında geri alınır. Söz konusu makine ve teçhizat, kullanılmış komple tesis kapsamında temin edilmiş ise, kullanılmış komple tesisin tamamı, gümrüklerce yapılacak tüm masraflar yatırımcı tarafından karşılanmak suretiyle tasfiye edilmek üzere gümrüklere terk edilir. Faiz veya kâr payı desteği"
15,,"(1) Faiz veya kâr payı desteği uygulamasına ilişkin esaslar, Genel Müdürlük ve aracı kurumlar arasında imzalanan protokol ile belirlenir. (2) Teşvik belgesinde faiz veya kâr payı desteği öngörülen yatırımcılar faiz veya kâr payı desteğinden yararlanabilmek için Genel Müdürlük ile protokol imzalayan aracı kurumlardan birine başvurur. Aracı kurum tarafından yapılan değerlendirme sonucunda kredi kullanımı veya finansal kiralama sözleşmesi yapılması uygun görülen projelere ilişkin faiz veya kâr payı desteği müracaatları, yatırımcı adına protokolde belirtilen esaslar çerçevesinde aracı kurumca Genel Müdürlüğe yapılır. Müracaatın, Genel Müdürlük tarafından yapılacak değerlendirme sonucu uygun görülmesi gerekir. (3) Faiz veya kâr payı desteği ödemesinin yapılabilmesi için yatırımcı tarafından; a) 5510 sayılı Kanun uyarınca Türkiye genelinde Sosyal Güvenlik Kurumuna muaccel olmuş prim ve idari para cezası borçlarının bulunmadığının veya tecil ve/veya taksitlendirildiğinin ya da yapılandırıldığının ve yapılandırmanın bozulmadığının, b) 21/7/1953 tarihli ve 6183 sayılı Amme Alacaklarının Tahsil Usulü Hakkında Kanunun 22/A maddesi uyarınca Hazine ve Maliye Bakanlığı tahsilat dairelerine müracaat tarihinden önceki on beş gün içinde vadesi geçmiş borcunun olmadığının, tevsik edilmesi gerekmektedir. (4) Sektörel Teşvik Sistemi kapsamında desteklenen yatırımlar için Bakanlıkça faiz veya kâr payı desteği ödemelerinin vadeyi takip eden ayın sonuna kadar yapılması esastır. Ancak, Hazine nakit dengesi veya diğer zorunlu haller nedeniyle ödeme tarihinde Bakanlıkça değişiklik yapılabilir. Türkiye Yüzyılı Kalkınma Hamlesi kapsamında yapılacak ödemeler"
16,,"(1) Türkiye Yüzyılı Kalkınma Hamlesi kapsamında yapılacak faiz veya kâr payı desteği veya makine desteği ödemeleri, yatırım harcamasının yapıldığı yılı takip eden yıl Bakanlığa ibraz edilecek yatırım ilerleme raporunda belirtilen yatırım tutarı esas alınarak hesaplanan destek hak ediş tutarı kadar yapılır. (2) Yatırım ilerleme raporunun her yılın Mart ayı sonuna kadar Bakanlığa ibraz edilmesi gerekmektedir. Bu tarihe kadar ibraz edilemeyen harcamalar takip eden yıllar için hazırlanacak yatırım ilerleme raporu ile ibraz edilebilir. Yatırım ilerleme raporunda yer alan harcamalar her yıl için ayrı ayrı ve toplu olarak belirtilir. Yatırımın durumuna ilişkin görsellere ve değerlendirmelere, yatırımın termin planına uyumuna dair değerlendirmelere ve risk analizine ayrıca yer verilir. (3) Türkiye Yüzyılı Kalkınma Hamlesi Programı kapsamında yapılacak faiz veya kâr payı desteği veya makine desteği ödemelerinin, hak ediş tutarının onaylandığı tarihi takip eden Mart, Haziran veya Eylül aylarında yapılması esastır. Ancak, Hazine nakit dengesi veya diğer zorunlu haller nedeniyle ödeme tarihinde Bakanlıkça değişiklik yapılabilir. (4) Faiz veya kâr payı desteğinden yararlanmak isteyen yatırımcı adına kullanıcı, yatırım ilerleme raporunu E-TUYS’a yükler. Aracı kurumlar tarafından Bakanlığa gönderilen kredinin ve/veya borçlanmanın vadelerinde yapılıp yapılmadığına ilişkin geri ödeme bildirimleri de dikkate alınarak tespit edilen tutar hak ediş tutarı çerçevesinde firmaya aktarılır. (5) Makine desteğinden yararlanmak isteyen yatırımcılar yatırım ilerleme raporu ile birlikte rapor döneminde Kararın 16 ncı maddesinin birinci fıkrasında belirtilen nitelikleri taşıyan makine harcamalarına ilişkin bilgileri E-TUYS’a yükler. Uygun görülen makine bedeli üzerinden tespit edilen tutar hak ediş tutarı çerçevesinde firmaya aktarılır. (6) Yatırımcı, Genel Müdürlüğün dördüncü ve beşinci fıkraları hükümleri çerçevesinde yapacağı inceleme için ihtiyaç duyduğu her türlü bilgi ve belgeyi ibraz etmek ile yükümlüdür. Sigorta primi işveren hissesi desteği"
17,,"(1) Sigorta primi işveren hissesi desteği, komple yeni yatırımlarda teşvik belgesi kapsamında gerçekleştirilen yatırımla sağlanan istihdam, diğer yatırım cinslerinde ise mevcuda ilave edilen istihdam için uygulanır. Komple yeni yatırım dışındaki yatırım cinslerinde, aylık prim ve hizmet belgesinde kayıtlı işçi sayısının mevcut istihdamın altında olması halinde ilgili ay için prim desteği uygulanmaz. (2) İşveren hissesine ait primlerin karşılanabilmesi için işverenlerin çalıştırdıkları sigortalılarla ilgili olarak 5510 sayılı Kanun uyarınca aylık prim ve hizmet belgelerini yasal süresi içinde Sosyal Güvenlik Kurumuna vermesi ve sigortalıların tamamına ait sigorta primlerinin sigortalı hissesine isabet eden tutar ile Bakanlıkça karşılanmayan işveren hissesine ait tutarı ödemiş olması gerekir. İşveren tarafından ödenmesi gereken primlerin geç ödenmesi halinde, Bakanlıktan Sosyal Güvenlik Kurumuna yapılacak ödemenin gecikmesinden kaynaklanan gecikme zammı işverenden tahsil edilir. (3) Sigorta primi işveren hissesi desteği uygulaması için Sosyal Güvenlik Kurumuna yapılacak bildirimlerin, tamamlama vizesinin yapıldığı ayı takip eden ay yapılması esastır. Ancak, bu uygulama tarihlerinde Bakanlıkça değişiklik yapılabilir. Sigorta primi işveren hissesi desteği uygulamasına ise, Sosyal Güvenlik Kurumuna yapılan bildirimi takip eden aydan itibaren başlanır. Uygulamanın ilk başladığı ay esas alınarak teşvik belgesinde kayıtlı süre kadar destekten yararlandırıldıktan sonra uygulamaya son verilir. (4) Sigorta primi işveren hissesi desteğinin uygulanması ile ilgili işlemler Sosyal Güvenlik Kurumunca ilgili mevzuat hükümleri kapsamında yürütülür. (5) Genel Müdürlükçe, tamamlama vizesi yapılan ve sigorta primi işveren hissesi desteğinden yararlanabilecek teşvik belgesi sahibi yatırımcılara ilişkin olarak firma ünvanı, teşvik belgesi tarih ve sayısı, yatırım yeri, Sosyal Güvenlik Kurumu işyeri sicil numarası, yatırımın cinsi, mevcut istihdam, ilave istihdam, vergi dairesi, vergi numarası, destekten yararlanma oranı ve destekten yararlanma süresi Sosyal Güvenlik Kurumu Başkanlığına bildirilir. Sosyal Güvenlik Kurumunca, destekten yararlanacak yatırımcılar için; a) Desteğin uygulanacağı aya ait prim ve hizmet belgesinde belirtilen sigortalıların tamamına ait sigorta primlerinin, sigortalı hissesine isabet eden tutar ve Bakanlıkça karşılanmayan işveren hissesine ait tutarın tamamının ödendiğinin, b) 5510 sayılı Kanun uyarınca Türkiye genelinde Sosyal Güvenlik Kurumuna muaccel olmuş prim ve idari para cezası borçlarının bulunmadığının veya tecil ve/veya taksitlendirildiğinin ya da yapılandırıldığının ve yapılandırmanın bozulmadığının, c) 6183 sayılı Kanunun 22/A maddesi uyarınca Hazine ve Maliye Bakanlığı tahsilat dairelerine müracaat tarihinden önceki on beş gün içinde vadesi geçmiş borcunun olmadığının, tespit edilmiş olması gerekir. (6) Sosyal Güvenlik Kurumu tarafından sigorta primi işveren hissesi desteğinin uygulanmasını müteakip EK-7’de yer alan formata uygun şekilde Bakanlıktan toplu aktarım talebinde bulunulur. Ödemeye esas istihdam sayısının ve Bakanlıktan aktarımı talep edilen tutarın doğruluğundan Sosyal Güvenlik Kurumu sorumludur. (7) Sigorta primi işveren hissesi desteğinin uygulanacağı teşvik belgesi kapsamındaki yatırıma ait tesiste istihdam edilen sigortalı sayısının tespitinde, işverenin Sosyal Güvenlik Kurumu işyeri sicil numarası altında ilgili mevzuatta belirtilen aracılarca istihdam edilen sigortalı sayısı da dikkate alınabilir. (8) Kararın 18 inci maddesinin yedinci fıkrası kapsamında desteklenen gemi inşa yatırımlarında uygulamaya, teşvik belgesinde kayıtlı istihdam sayısını aşmamak üzere teşvik belgesinin düzenlendiği tarihi takip eden aydan itibaren başlanır. Sigorta primi desteği"
18,,"(1) 17 nci maddenin birinci, ikinci, üçüncü, dördüncü, beşinci, altıncı ve yedinci fıkraları hükümleri sigorta primi desteği için de uygulanır. Yatırım yeri tahsisi"
19,,"(1) Diğer kurum ve kuruluşlarca yatırım yerine bağlı olarak düzenlenen ve teşvik belgesi düzenlemesine dayanak teşkil eden izin, ruhsat veya belge olması halinde; teşvik belgesinin düzenlenmesi aşamasında, gerekli diğer belgelerin tam ve eksiksiz olması ve yararlanılmak istenen teşvik sistemi kapsamındaki diğer şartların sağlanması kaydıyla, yatırım yerine bağlı olarak tahsis yapılabileceğine yönelik ön değerlendirme görüşü Genel Müdürlük tarafından Çevre, Şehircilik ve İklim Değişikliği Bakanlığı Milli Emlak Genel Müdürlüğü veya Bakanlık Sanayi Bölgeleri Genel Müdürlüğüne iletilir. (2) Yatırım yeri tahsisine yönelik iş ve işlemlerde, ilgili mevzuat hükümleri esastır. Makine ve teçhizat listesine ilişkin işlemler ile harcamaların E-TUYS’a yüklenmesi"
20,,"(1) Teşvik belgesi kapsamında gerçekleştirilecek ithal ve yerli makine ve teçhizat teminlerinde, alımı gerçekleştirilecek her bir makine ve teçhizat için alım yapılmadan önce kullanıcı tarafından E-TUYS üzerinden kullanım kılavuzunda belirtilen şekilde işlem başlatılması gerekir. (2) Teşvik belgesi kapsamı ithal ve yerli makine ve teçhizat listelerine ilişkin değişiklik talepleri için Bakanlığa müracaat edilir. Ancak, ithal ve yerli makine ve teçhizat listelerinde her bir makine ve teçhizat için belirtilen miktarın aşılmaması kaydıyla, listede belirtilen tutarın üzerinde veya altında kalan alımlarda liste değişikliği yapılmaksızın doğrudan işlem yapılabilir. (3) Kararın 5 inci maddesinin on birinci ve on ikinci fıkralarının yürürlüğe gireceği tarihe kadar ithal ve yerli makine ve teçhizat alımları dışında kalan yatırım dönemine ait her türlü yatırım harcamasının (bina-inşaat, diğer harcamalar ve benzeri), gerçekleşmesini müteakip kullanıcılar tarafından E-TUYS üzerinden kullanım kılavuzunda belirtilen şekilde kaydı gerçekleştirilir. Teşvik belgesinin revizesi"
21,,"(1) Teşvik belgesinde kayıtlı olan değerlerde, tevsik edilen bilgi ve belgelere istinaden yapılacak değerlendirme sonucunda Genel Müdürlük tarafından yatırımın her aşamasında değişiklik yapılabilir. (2) Teşvik belgesinde kayıtlı sabit yatırım tutarında veya belgede kayıtlı diğer bilgilerde değişiklik olması durumunda, yatırımcı tarafından revize gerekçesi ve ilgili bilgi ve belgeler ile birlikte Bakanlığa müracaat edilerek teşvik belgesinin revizesi talebinde bulunulur. Genel Müdürlük tarafından yapılacak değerlendirme neticesinde gerekçesi uygun bulunan teşvik belgeleri revize edilebilir. (3) Yatırımcı bilgilerinde (ünvan, vergi dairesi, iletişim bilgileri ile diğer bilgiler) değişiklik yapılması durumunda Bakanlığa müracaat edilmeksizin yatırımcı adına kullanıcı söz konusu değişiklikleri E-TUYS’ta günceller. Yatırım konusu değişikliği"
22,,"(1) Yatırım konusu değişikliği talepleri için Bakanlığa başvurulur. (2) Yatırımcı tarafından yeni yatırıma ilişkin olarak verilecek bilgilere istinaden ilgili mevzuat hükümleri kapsamında bölgesel ve sektörel kısıtlamalar da dikkate alınarak, Genel Müdürlük tarafından teşvik belgesi üzerinde yatırım konusuna ilişkin değişiklik yapılabilir. Yatırım konusu değişikliğinden önce satın alınmış ancak, yeni yatırım konusu ile ilgili olmayan makine ve teçhizat için uygulanan destekler ilgili mevzuat kapsamında geri alınır. Finansal kiralama işlemleri"
23,,"(1) Teşvik belgesi kapsamında yer alan makine ve teçhizatın tamamı veya bir kısmı finansal kiralama yolu ile temin edilebilir. (2) Finansal kiralama şirketinin gümrük vergisi muafiyeti ve KDV istisnası desteklerinden yararlanabilmesi için, teşvik belgesi sahibi yatırımcı ile sözleşme yapılmış olması ve Genel Müdürlük tarafından finansal kiralamaya konu makine ve teçhizat listesinin onaylanmış olması gerekir. (3) Yatırımcının teşvik belgesi dikkate alınarak finansal kiralama şirketi adına yerli temin ve/veya ithalat işlemleri yapılır. Bu işlemlerde yatırımcı, finansal kiralama şirketleri ile müteselsilen sorumludur. (4) Finansal kiralamaya konu makine ve teçhizatın, yatırımcının mülkiyetine geçiş tarihine kadar Genel Müdürlüğün izni olmaksızın üçüncü kişilere satışı veya kiralanması durumunda her türlü sorumluluk finansal kiralama şirketine aittir. İflas, sözleşmenin feshi veya yatırımın gerçekleşmemesi durumunda, yatırımcının mülkiyetine geçmemiş makine ve teçhizat için faydalanılan gümrük vergisi muafiyeti ve KDV istisnası ilgili mevzuat kapsamında finansal kiralama şirketinden, varsa faydalanılan diğer destekler yatırımcıdan geri alınır. (5) Finansal kiralamaya konu makine ve teçhizatın başka bir finansal kiralama şirketine devri, ancak yatırımcının uygun görüşü ve Genel Müdürlüğün onayına istinaden yapılabilir. (6) Bu maddede belirtilmeyen hususlarda 21/11/2012 tarihli ve 6361 sayılı Finansal Kiralama, Faktoring, Finansman ve Tasarruf Finansman Şirketleri Kanunu hükümleri dikkate alınarak Genel Müdürlüğün görüşü doğrultusunda işlem tesis edilir. Teşvik belgesi ile ilgili diğer işlemler"
24,,"(1) Sadece modernizasyon cinsinde teşvik belgesi düzenlenebilen konularda düzenlenecek teşvik belgelerinde modernizasyona yönelik olarak aktiflerden düşülecek makine ve teçhizatın asgari üç yıl firmanın aktifinde bulunmuş olması ve aktiflerden düşmeye yönelik satışlarda satışı yapan firmanın ortakları ve birinci derece yakınlarının satın alan firma ortaklık yapısında yüzde ellinin üzerinde pay sahibi olmamaları şartı aranır. (2) Lisanssız faaliyet kapsamında güneş enerjisine dayalı elektrik üretimi yatırımları için düzenlenmiş ve tamamlama vizesi yapılmamış teşvik belgesine konu yatırımın, Kararın 25 inci maddesi kapsamında bütün halinde başka bir yatırımcıya belge üzerinde ünvan değişikliği yapılmak suretiyle devredilmesine ilişkin talepler uygun görülmez. (3) Kararın EK-4’ünde yer alan listede bulunan makine ve teçhizat için yurt içinde üretilmiş olması kaydıyla makine desteği sağlanabilir. (4) Kararın 18 inci maddesinin beşinci fıkrası hükmüne istinaden düzenlenen teşvik belgelerinin Kararın 25 inci maddesi çerçevesinde devredilmesi halinde, taşınmaya konu makine ve teçhizat için sağlanan sigorta primi işveren hissesi desteği ve sigorta primi hissesi desteği durdurulur. (5) Teşvik belgesi müracaat tarihindeki Kararda belirtilen destek üst limitleri bu müracaata istinaden düzenlenen teşvik belgesi için yeniden değerlemeye tabi tutulmaz. Mücbir sebep ve fevkalade hâl durumları"
25,,"(1) Teşvik belgesi müracaatı ile tamamlama vizesi işlemleri sonuçlanıncaya kadarki süreçte devam eden işlemlerle ilgili olarak aşağıda belirtilen haller mücbir sebep ve fevkalade hâl durumları olarak değerlendirilir: a) Yangın, deprem ve su basması gibi doğal afetler (İlgili resmî kurumlardan alınacak yazı ile varsa sigorta hasar ekspertiz raporu aranır.). b) Yatırımcının faaliyetlerinden kaynaklanmayan nedenlerle kamu idarelerinin aldığı kararlar ve uygulamalar sonucu yatırımcının faaliyet ve/veya yatırım yapamaz hale gelmesi (İlgili kamu kurumundan alınacak yazı aranır.). c) Grev ve lokavt (Resmî kurumlardan alınacak yazı aranır.). ç) Devletçe konulan yasaklar, savaş ve abluka hali. d) Yatırımcının çoğunluk hissesi sahiplerinin ölümü (Mahkeme kararı aranır.). e) Yatırımcının iradesi ve kusuru dışındaki sebeplerle yatırım teşvik belgesi kapsamı sabit kıymetlerin elden çıkması veya kullanılamaz hale gelmesi (Resmî kurumlardan alınacak yazı aranır.). (2) Mücbir sebep ve fevkalade hâl durumunun kabulü için mücbir sebebin malum olması veya ilgililer tarafından ispat veya tevsik edilmesi lazımdır. (3) Mücbir sebep ve fevkalade hâl durumlarından herhangi birinin bulunması halinde bu sebep ortadan kalkıncaya kadar süreler işlemez. (4) Mücbir sebep ve fevkalade hâl durumu neticesinde yatırımın kısmen ya da tamamen gerçekleştirilememesi halinde, kullanılamaz hale gelen yatırım harcamaları için sağlanan destekler geri alınmaz ancak durdurulur. Tamamlama vizesi"
26,,"(1) Kullanıcı tarafından, öngörülen süre veya ek süre bitimini müteakip üç ay içinde, yatırımın tamamlama vizesinin yapılması için E-TUYS uygulamasında yer alan tanımlı alanların doldurulması ve EK-4’te belirtilen bilgi ve belgelerin E-TUYS üzerinden elektronik ortama yüklenmesi suretiyle Bakanlığa müracaat edilir. (2) Ekspertiz işlemlerinin Genel Müdürlükçe yapılacak olması halinde, yatırım mahallinde ekspertiz yapmak üzere Genel Müdürlükten en az iki, en fazla üç personel görevlendirilir. Genel Müdürlük tarafından kalkınma ajansları, Bakanlık il müdürlükleri veya Küçük ve Orta Ölçekli İşletmeleri Geliştirme ve Destekleme İdaresi Başkanlığı (KOSGEB) il müdürlüklerinin görevlendirilmesi halinde; tamamlama ekspertizi, görevlendirilen mercinin kadrolu iki personeli tarafından gerçekleştirilir ve EK-6’da yer alan yatırım tamamlama ekspertiz raporu hazırlanarak bir ay içinde Genel Müdürlüğe gönderilir. Genel Müdürlükçe sonuçlandırılan tamamlama vizesi işlemleri ile ilgili olarak yatırımcıya ve ekspertiz işlemini yapan merciye bilgi verilir. (3) Ekspertiz işlemi için görevlendirilen personele Kararda belirtilen ücret dışında kamu kaynaklarından ya da yatırımcı tarafından herhangi bir ödeme yapılmaz. (4) Mücbir sebep ve fevkalade hâl durumları nedeniyle tamamlama vizesine ilişkin aranan belgelerin ibraz edilememesi durumunda tamamlama vizesine ilişkin talepler; a) Teşvik belgesi kapsamında ithali yapılan makine ve teçhizata ilişkin ilgili gümrük idaresinden temin edilecek gümrük giriş beyannamelerinin onaylı örneklerinin, b) Alımı gerçekleştirilen yerli makine ve teçhizata ait satıcı firmalardan temin edilecek fatura nüshalarının, c) Varsa diğer yatırım harcamalarına ait ilgili kurum ve kuruluşlardan temin edilecek belgelerin, ç) Bina-inşaat harcamaları için ilgili belediyeden temin edilecek yapı ruhsatı ve/veya yapı kullanım izin belgesi örneğinin, d) Mücbir sebep ve fevkalade hâl durumunu tevsik eden ilgili resmî kurumlardan alınacak yazının, Genel Müdürlüğe ibraz edilmesini müteakip sonuçlandırılabilir. Kararın 5 inci maddesinin on birinci ve on ikinci fıkralarının yürürlük tarihi itibarıyla (a), (b) ve (c) bentlerinde belirtilen belgeler aranmaz. (5) Elektrik enerjisi üretimine yönelik yatırımların tamamlama vizesi, firmanın teşvik belgesine konu yatırıma ilişkin ilgili kurum tarafından düzenlenen geçici kabul belgesinin tasdikli sureti ile yatırım teşvik belgesi ile ilgili şartların sağlandığına ilişkin EK-8’de yer alan rapora istinaden yapılabilir. Yeniden değerleme"
27,,"(1) Kararda yer alan tutarlar her yıl, bir önceki yıla ilişkin olarak 4/1/1961 tarihli ve 213 sayılı Vergi Usul Kanununun mükerrer 298 inci maddesinin (B) fıkrası hükmü uyarınca tespit ve ilan edilen yeniden değerleme oranı dikkate alınarak 1.000 TL ve üzerindeki tutarlar yüzler basamağına, 1 milyon TL üzerindeki tutarlar yüz binler basamağına, 100 milyon TL üzerindeki tutarlar milyonlar basamağına yuvarlanmak suretiyle güncellenerek Bakanlık internet sitesinden ilan edilir. Yürürlükten kaldırılan tebliğler"
28,ÜÇÜNCÜ BÖLÜM,(1) 20/6/2012 tarihli ve 28329 sayılı Resmî Gazete’de yayımlanan Yatırımlarda Devlet Yardımları Hakkında Kararın Uygulanmasına İlişkin Tebliğ (Tebliğ No: 2012/1) ile 15/3/2018 tarihli ve 30361 sayılı Resmî Gazete’de yayımlanan Cazibe Merkezleri Programı Kapsamında Yatırımların Desteklenmesi Hakkında 2018/11201 Sayılı Kararın Uygulanmasına İlişkin Tebliğ yürürlükten kaldırılmıştır. Geçici ve Son Hükümler Daha önceki kararlara ilişkin uygulama
GEÇİCİ 1,,"(1) Kararın yürürlüğe girdiği tarihten önceki mülga Devlet yardımlarına ilişkin Bakanlar Kurulu kararlarına istinaden düzenlenen teşvik belgeleri ile ilgili uygulamalara, teşvik belgesinin dayandığı karar ve bu dayanak kararın uygulanmasına ilişkin yürürlüğe konulan mevzuat hükümleri çerçevesinde devam olunur. Yürürlük"
29,,(1) Bu Tebliğ yayımı tarihinde yürürlüğe girer. Yürütme
30,,(1) Bu Tebliğ hükümlerini Sanayi ve Teknoloji Bakanı yürütür. Ekleri için tıklayınız.
