Madde No,Başlık,İçerik
10,,"– (1) Bakanlık, Öncelikli Ürün Listesindeki ürünlere yönelik olarak duyuru yapmak suretiyle çağrıda bulunur. (2) (Değişik:RG-26/7/2024-32613) Çağrı planları, çağrı kapsamında yer alacak sektör ve ürünler ile çağrı takvimi Bakanlık tarafından belirlenerek Program Portalinde duyurulur. (3) Programa sadece Türkiye’de yerleşik sermaye şirketleri başvurabilir. (4) (Değişik:RG-26/7/2024-32613) Birinci fıkrada belirtilen çağrıya istinaden Program kapsamındaki desteklerden yararlanmak isteyen yatırımcı, Program Portalinde duyurulan bilgi ve belgelerle Bakanlığa müracaat ederek çağrı planlarında öngörülen takvim ve yöntem çerçevesinde ön başvuru işlemini tamamlar. Ön başvuruda istenecek bilgi ve belgeler Program Portalinde yayımlanır. (5) (Değişik:RG-27/4/2021-31467) Program kapsamında desteklenecek yatırım projelerinde, çağrı duyurusunda yer alan ürünlere yönelik olma ve çağrı duyurusunda belirlenen asgari yatırım projesi tutarını karşılama koşulu aranır. (6) (Değişik:RG-27/4/2021-31467) Başvuru kapsamında birden çok ürünün üretilmesi hedeflenebilir. Bu ürünler arasından temel ürün olarak üretilmesi planlanan ürünün çağrı duyurusunda yer alan ürün listesinde bulunması zorunludur. Üretilmesi hedeflenen temel ürün haricindeki diğer ürünlerin proje bütünlüğü açısından; a) Temel ürünün ara girdisi olup projenin daha yüksek katma değer oranıyla hayata geçirilebilecek olmasına katkı sağlama, b) Temel ürünle aynı makine parkurunda üretilebilme, c) Kısmi bir ek yatırım ile üretilerek projenin katma değer tutarını artırabilme, niteliklerinden en az birini karşılaması gerekir. Çağrı kapsamında değerlendirmeye sunulan bir projede bu koşulları sağlayan ürünler için de program kapsamında yer alan destekler verilebilir. (7) (Değişik:RG-26/7/2024-32613) Ön başvuru ile yatırım projesine konu ürünün çağrı duyurusunun ek listesi olarak yayımlanan ürün listesinde yer alıp almadığı, öngörülen proje tutarının çağrı duyurusunda belirlenen asgari proje tutarı koşulunu karşılayıp karşılamadığı, yatırımcının ve yatırım projesinin çağrı planında belirlenen diğer temel kriterleri sağlayıp sağlamadığı Genel Müdürlük tarafından tespit edilir. Ön başvuru sürecinde sunulan bilgilerin incelenmesi neticesinde, Program ve çağrı duyurusu kapsamında belirlenen temel kriterlerin sağlanmadığının belirlenmesi durumunda, yatırımcıya eksikliklerin giderilmesi için Program Portali üzerinden bilgilendirme yapılarak beş iş gününden az olmamak kaydıyla düzeltme süresi verilir. Eksikliklerini, bildirilen süre içerisinde tamamlamayan yatırımcı, kesin başvuruda bulunma hakkını kaybeder. Ön başvuruda sunduğu bilgi ve belgelerin, Program ve çağrı duyurusu kapsamında belirlenen temel kriterleri sağladığı tespit edilen firma, kesin başvuru yapmaya hak kazanır. (8) (Değişik:RG-26/7/2024-32613) Ön başvuru sonrasında kesin başvuru yapmaya hak kazanan firma, çağrı planında öngörülen takvim dâhilinde, proje fizibilitesinin yanı sıra Program Portalinde yayımlanacak diğer bilgi ve belgeler ile kesin başvurusunu tamamlar. Genel Müdürlük yatırımcı tarafından sunulan tüm bilgileri üçüncü taraflar nezdinde kontrol ve teyide yetkilidir. (9) (Değişik:RG-26/7/2024-32613) Başvuruda, Bakanlığa sunulan bilgi, belge ve raporlar TÜBİTAK ve KOSGEB değerlendirme süreçlerinde de kullanılabilir. Projelerin Komite değerlendirmesine sunulması öncesinde 12 nci ve 13 üncü maddeler kapsamında yapılan detaylı incelemelerde, bu Tebliğde ve/veya çağrı planında yer alan koşulları sağlayamadığı tespit edilen başvurular, Genel Müdürlük tarafından Program Portali ve KEP adresi aracılığıyla değerlendirme dışı bırakılır. Genel Müdürlük tarafından bu madde hükümlerine göre yatırım projesi değerlendirme dışı bırakılan başvuru sahipleri, kararın kendilerine tebliğinden itibaren on beş iş günü içerisinde Genel Müdürlüğe itirazda bulunabilir. Bu kapsamda yapılan itirazlar, Genel Müdürlük tarafından değerlendirilerek karara bağlanır. (10) (Mülga:RG-26/7/2024-32613) Proje fizibilitesi"
11,,"– (Değişik:RG-27/4/2021-31467) (1) Her bir yatırım projesi başvurusu için, proje fizibilitesi sunulması zorunludur. Proje fizibilitesinde; a) İşletmenin mevcut durumu, b) İşletmenin organizasyon yapısı, yönetim ve insan kaynakları, c) Proje paydaşının ve/veya Ar-Ge yüklenicisinin bilgileri ve projeye sağlaması öngörülen katkılar, ç) Projenin tanımı ve kapsamı, d) İhtiyaç analizi, e) Pazar analizi, f) Proje yeri ve uygulama alanı, g) Projenin uygulama planı ve takvimi, ğ) Ar-Ge süreci, h) Üretime yönelik yatırım süreci, ı) Eş zamanlı Ar-Ge ve üretime yönelik yatırım süreçleri, i) Proje tutarı ve yıllara dağılımı, j) Projenin finansman kaynakları ve planı, k) Üretim ve satış programı, l) Program kapsamında talep edilen destek unsurları ve mali etki, m) Risk analizi, n) GZFT (güçlü yönler, zayıf yönler, fırsatlar, tehditler) analizi, bölümlerine yer verilmesi zorunludur. Bağımsız değerlendirme raporu"
12,BEŞİNCİ BÖLÜM,"– (Değişik:RG-27/4/2021-31467) (1) (Değişik:RG-26/7/2024-32613) Bakanlık tarafından yetkilendirilen bağımsız danışmanlık firmalarından biri tarafından hazırlanacak ve Program Portaline yüklenecek olan bağımsız değerlendirme raporunun, doğrudan yatırımcıdan kaynaklanan nedenlerle çağrı planında öngörülen süre içerisinde Program Portaline yüklenmediği durumda, proje başvuruları değerlendirme dışı bırakılarak reddedilmiş kabul edilir. (2) Bağımsız değerlendirme raporu hazırlanırken bağımsız danışmanlık firması tarafından yatırımcının yerinde incelemesinin yapılması zorunludur. (3) Bağımsız değerlendirme raporunda, proje fizibilitesinde yer alan bölümler bazında aşağıdaki hususları dikkate alan değerlendirmelere yer verilmesi zorunludur: a) Proje fizibilitesinde yer alan verilerin tutarlılığı. b) (Değişik:RG-26/7/2024-32613) Yatırımcının mali ve teknik yetkinlik açısından projenin gerekliliklerini karşılayabilme düzeyi. c) Projede üretime geçilmesini müteakiben on yıl süresince sağlanacağı öngörülen katma değer analizi. ç) Üretilmesi öngörülen ürünün, dünya ve Türkiye piyasalarındaki gelişim potansiyelinin geçmiş dünya ve Türkiye ticareti verilerinde gözlenen eğilimler üzerinden analizi. d) Projeye ilişkin incelemeyi yapan bağımsız danışmanlık firmasının genel görüş ve değerlendirmeleri. (4) KOBİ vasfı taşıyan yatırımcılar için bağımsız değerlendirme raporunun maliyeti, ilgili mevzuatta öngörülen usullere göre, karşılama oranı nispetince KOSGEB tarafından karşılanır. Büyük ölçekli yatırımcılar tarafından sunulan ve Komite tarafından TÜBİTAK Ar-Ge süreci desteklerinden yararlandırılması kararlaştırılan yatırım projeleri için bağımsız değerlendirme raporunun maliyeti, Ar-Ge süreci desteklerinin fiilen sağlanmaya başlamasını müteakiben, ilgili mevzuatta belirlenen limitler dahilinde TÜBİTAK tarafından karşılanır. Büyük ölçekli yatırımcılar tarafından sunulan ve Komite tarafından Ar-Ge süreci desteklerinden yararlandırılmayan projeler için bağımsız değerlendirme raporunun maliyeti karşılanmaz. (5) Bu maddenin uygulamasına ve bağımsız danışmanlık firmalarının yetkilendirilmesine ilişkin usul ve esaslar Bakanlık tarafından belirlenir. Başvuruların Değerlendirilmesi(6) Ön değerlendirme (Başlığı ile Birlikte Değişik:RG-26/7/2024-32613)"
13,,"(1) Program kapsamında kesin başvurusu tamamlanan projelerin her biri için ön değerlendirme komisyonu tarafından, sunulan proje içeriği dikkate alınarak aşağıdaki kriterlere göre ön değerlendirme kararı verilir. a) Projenin sektördeki emsal ürün özellikleri ve iyi uygulama örnekleri dikkate alınarak hazırlanmış olması, b) Projenin belirlenen formata ve proje sistematiğine uygun ve tutarlı hazırlanmış olması, c) Proje kapsamında üretilmesi hedeflenen ürünün ve proje içeriğinin çağrı planıyla uyumlu olması, ç) Aynı proje konusunda yatırımcıya ait başvuru tarihi itibarıyla açık yatırım teşvik belgesi bulunma durumu. (2) Ön değerlendirme komisyonu tarafından projenin bütçe ve kapsamı değişmeksizin proje önerisindeki açıklamaların detaylandırılması veya eksik belgelerin tamamlatılması amacıyla fizibilite dokümanlarının belirtilen eksiklikler doğrultusunda güncellenmesine yönelik revizyon kararı alınabilir. Revizyon kararı alınması durumunda talep edilen revizyonların yerine getirilmesi için yatırımcıya 5 günden az olmamak kaydıyla 15 güne kadar süre verilebilir. (3) Ön değerlendirme kararı olumsuz olan projeler değerlendirme dışı bırakılarak bu projeler için kesin başvuru sonrasındaki diğer değerlendirme süreçleri yürütülmez. (4) Değerlendirme dışı bırakılan proje sahipleri 15 gün içerisinde Genel Müdürlüğe itirazda bulunabilir. Bu itirazlar ön değerlendirme komisyonu tarafından değerlendirilerek Komite tarafından nihai karara bağlanır. Bağımsız değerlendirme"
13,,"/A- (Ek:RG-26/7/2024-32613) (1) Program kapsamında ön değerlendirme kararı olumlu olan her bir proje için çağrı takviminde öngörülen süre içerisinde bağımsız değerlendirme süreci yürütülür. (2) Bağımsız değerlendirme raporu, 12 nci madde hükümleri doğrultusunda yetkilendirilmiş bağımsız danışmanlık firmalarından biri tarafından hazırlanır. Proje değerlendirmesi"
13,,"/B- (Ek:RG-26/7/2024-32613) (1) Bağımsız değerlendirme süreci çağrı planında öngörülen süre içerisinde Program Portali üzerinden tamamlanan projeler detaylı değerlendirmeye tabi tutulur. (2) Proje konusu ürünün üretilebilmesi için Ar-Ge gereksinimi olduğu durumlarda, ilgili TÜBİTAK destek programı kapsamında, öngörülen proje planı çerçevesinde ürünün üretilmesinin teknik yönden mümkün olup olmadığının tespitini de kapsayacak şekilde Ar-Ge projesi değerlendirme süreci işletilir. Ar-Ge’ye ihtiyaç olmaksızın sadece üretime yönelik yatırımın gerekli olduğu veya Ar-Ge faaliyetinin sadece tamamlayıcı veya geliştirici mahiyette yapılmasının öngörüldüğü özel durumlarda, projenin üretime yönelik yatırım kısmı için başvurusu yapılan ürünün teknolojik hazırlık seviyesinin, ürünün ve yatırımcının teknik açıdan üretime hazır olup olmadığının, öngörülen proje planlaması çerçevesinde yapılacak faaliyetlerle ürünün üretilmesinin teknik yönden mümkün olup olmadığının tespiti için TÜBİTAK tarafından inceleme yapılır. Projenin bütçe ve kapsamı değişmeksizin proje önerisindeki açıklamaların detaylandırılması veya eksik belgelerin tamamlatılması amacıyla TÜBİTAK tarafından revizyon açılarak değerlendirme süreci işletilebilir. Bu fıkra kapsamında konusunun uygunluğuna göre 3/7/2014 tarihli ve 6550 sayılı Araştırma Altyapılarının Desteklenmesine Dair Kanun kapsamında desteklenen merkezler ve TÜBİTAK Enstitülerinden de TÜBİTAK tarafından hizmet alınabilir. (3) Yatırımcının KOBİ desteklerinden yararlanmak istemesi durumunda, projenin ilgili faaliyetleri içeren kısmı için Stratejik Ürün Destek Programı kapsamında talep edilen bilgileri sunması ve formları doldurması gerekir. Yatırımcının ve başvurusunun KOSGEB desteklerinden yararlanabilme açısından ilgili mevzuatta belirtilen koşulları karşılama durumu, KOSGEB tarafından kontrol edilerek, kontrol sonucu varsa eksik ve/veya hatalı bulunan hususlarla birlikte Genel Müdürlüğe bildirilir. Başvuruların kontrolü sonucu mevzuatta belirtilen koşulları karşılayan projeler için, proje gider kalemlerinin tür, miktar, süre ve tutar açısından projeye uygunluğu KOSGEB tarafından incelenerek, inceleme sonucu Genel Müdürlüğe bildirilir. (4)  (Değişik:RG-9/7/2025-32951) Başvuruların 9903 sayılı Karar ve 2016/9495 sayılı Karar kapsamındaki devlet desteklerinden yararlandırılması açısından değerlendirmeye tabi tutulabilmesi için ilgili mevzuat kapsamında talep edilen bilgi ve formlar yatırımcı tarafından Program Portali üzerinden yüklenir. Proje komisyonları tarafından Bakanlıkça sağlanabilecek devlet desteklerine ilişkin inceleme ve değerlendirme yapılarak görüş oluşturulur. (5) Yukarıdaki fıkralarda belirtilen inceleme ve değerlendirmeler, Bakanlıkça öngörülen takvim çerçevesinde eş zamanlı ve koordineli olarak yürütülür. (6) Yatırımcı, değerlendirme süreci içerisinde proje komisyonu tarafından proje sunumuna davet edilir. Proje sunumuna projenin sektörü ve konusuna göre Bakanlık sektör uzmanları, bağımsız değerlendiriciler ve/veya akademisyenler davet edilebilir. Proje komisyonu, proje inceleme sürecinde ve proje sunumu esnasında yatırımcıdan, proje dosyalarındaki eksik bilgi ve tutarsızlıkları gidermesini veya ilave bilgi sunmasını isteyebilir. Ar-Ge ihtiyacı bulunan ve TÜBİTAK değerlendirme sürecinde Ar-Ge desteklerinden yararlandırılmaları uygun bulunmayan projeler için, ihtiyaç duyulan Ar-Ge faaliyetlerinin yatırımcının kendi kaynaklarıyla karşılanma imkân ve planını içeren ek Ar-Ge finansman raporu istenir. Proje değerlendirme sürecinde KOSGEB ve TÜBİTAK tarafından desteklenmesi uygun görülmeyen yatırım unsurları için, daha önce yapılmış olan değerlendirmelerden bağımsız olarak proje komisyonu tarafından yatırım teşvik mevzuatına uygunluk açısından değerlendirme yapılır. (7) Proje komisyonları bu maddede belirtilen inceleme ve değerlendirmeler ışığında komisyon raporlarını oluşturur. Nihai değerlendirme"
13,ALTINCI BÖLÜM,"/C- (Ek:RG-26/7/2024-32613) (1) Proje komisyonlarınca değerlendirme süreci tamamlanan projeler, ilgili değerlendirme raporları ve komisyon raporuyla birlikte Komite değerlendirmesine sunulur. Komite, değerlendirmeye aldığı projelerin; a) Ülkemizin mevcut durumda veya gelecekte ortaya çıkabilecek kritik ihtiyaçlarını karşılayabilme, b) Ülkemizde üretim kapasitesi yetersiz olan ürünlerde arz güvenliğini sağlayabilme, c) Ülkemizin teknoloji açığı olan alanlarda teknoloji kapasitesini geliştirme, ç) Dış ticaret açığı verilen alanlarda ithalat bağımlılığını azaltma, d) Yüksek katma değerli olma, e) Ülkemizde üretimi kısıtlı olan yeni nesil teknolojiler kullanılarak üretim yapılmasını sağlayabilme, f) Farklı sektörlerde ülkemize rekabet gücü kazandırabilme, g) Etkileşimde olduğu sektörlerde teknolojik dönüşümü hızlandırma ve bu sektörlerin gelişimine katkı sağlayabilme, ğ) Yenilikçi ve Ar-Ge’ye dayalı yatırım olma, h) Cari işlemler dengesini olumsuz etkileyen ve hammadde sıkıntısı yaşanılan sektörlerde gerçekleştirilecek yüksek katma değerli işlenmiş ürünlerin üretimine yönelik yatırım olma, ı) Ülkemizin hammadde potansiyelinin değerlendirilmesine olanak sağlayan entegre üretime yönelik yatırım olma, i) Mali yeterliliğe sahip olma, j) Proje paydaşının alım taahhüdü ile talep bakımından desteklenmiş veya ulaşılabilir, yeterli ve gelişen pazar potansiyeline sahip ürünlerin üretilmesine yönelik olma, niteliklerinin ağırlıklandırıldığı, Program Portalinde yayımlanan proje değerlendirme formu üzerinden puanlama yapar. Komite, bu değerlendirmede (Ek ibare:RG-9/7/2025-32951) üyelerin yarısından fazlasından ve ortalama olarak 70 ve üzerinde puan alan projeler arasında stratejik öncelikler, pazar rekabet koşulları, çağrı destek bütçesi, proje süresi gibi kısıtlar ve kriterlere göre önceliklendirme yapmak suretiyle desteklenecek projeleri belirler. (2) (Değişik cümle:RG-9/7/2025-32951) Komite, üyelerin yarısından fazlasından ve ortalama olarak 70 ve üzerinde puan alan projelerin talep edilen destek türlerinde değişiklik yapılması da dahil olmak üzere revize edilmesine, yatırımcılardan ilave bilgi istenmesine karar verebilir. Komite tarafından revize edilip tekrar sunulmasına karar verilen projeler için proje komisyonları tarafından revize başvurunun değerlendirilmesi amacıyla yeni bir rapor oluşturulur. Komite, bu durumda, projeler ile ilgili KOSGEB ve TÜBİTAK tarafından inceleme ve değerlendirme yapılmasını talep edebilir. Komite bu doğrultuda, projenin yeniden değerlendirme süreci için çağrı planında öngörülen tarih kısıtlamalarına bağlı kalmaksızın yeni bir takvim belirleyebilir. (3) Komite, destekleme kararı verilen projeler için hangi destek unsurlarının tanımlanacağına ve ilgili mevzuatta yer alan sınır ve koşullar çerçevesinde kalmak kaydıyla destek unsurlarının miktar ve sürelerine karar (Değişik ibare:RG-9/7/2025-32951) verme yetkisine sahiptir. Komite tarafından desteklenmeye uygun görülen projeler için; her bir yatırım projesi unsurunun birden çok destek türünden yararlandırılmaması koşuluyla TÜBİTAK, KOSGEB ve Bakanlık desteklerini bir arada ve/veya münhasıran içeren destek paketi tanımlanabilir. Desteklenmeye uygun görülen projeler kapsamında; KOSGEB, TÜBİTAK veya diğer kamu kurum ve kuruluşları tarafından sağlanan desteklerden yararlanılarak veya Komite tarafından uygun görülmek kaydıyla firma kaynaklarıyla gerçekleştirilen yatırım harcamaları, (Değişik ibare:RG-9/7/2025-32951) teşvik belgesine konu yatırımın bütünlüğünün sağlanması kapsamında değerlendirilebilir. Komite destek kararlarında, projenin sürdürülebilirliğini ve öngörülen katma değeri üretmesini temin etmek amacıyla proje özelinde çeşitli koşullara yer verebilir, farklı karar formatları oluşturabilir. TÜBİTAK tarafından Ar-Ge desteklerinden yararlandırılmaları uygun bulunmayan projeler için Komite tarafından, Bakanlık ve/veya KOSGEB desteklerini içeren destek paketi tanımlanabilir. (4) Komite tarafından desteklenmesine karar verilen projeler için tanımlanan üretime yönelik yatırım destekleri, varsa salt Ar-Ge sürecinin TÜBİTAK desteklerinden yararlanılarak ve/veya yatırımcının kendi kaynaklarıyla başarıyla tamamlandığının TÜBİTAK tarafından onaylandığının Genel Müdürlük tarafından TUYSGM ve/veya KOSGEB’e bildirilmesini müteakiben yürürlüğe girer. Ancak, proje fizibilitesinde Ar-Ge süreciyle eş zamanlı üretime yönelik yatırım süreci öngörülmesi veya yatırımcının izleme sürecinde talep etmesi halinde Komite, üretime yönelik yatırım desteklerinin Ar-Ge süreci tamamlanmadan önce başlamasına karar verebilir. (5) Destek kararı esnasında KOBİ vasfı taşıyan ve KOSGEB desteği tanımlanan firmalar, proje uygulama süreci içerisinde KOBİ vasfını yitirseler dahi destek kararında öngörülen koşul ve süreler dahilinde KOSGEB desteklerinden yararlanmaya devam eder. Destek Unsurlarına İlişkin Esaslar(7) Destek türleri (Değişik Başlık:RG-27/4/2021-31467)"
14,,"– (1) (Değişik:RG-27/4/2021-31467) Bu Program kapsamında desteklenmesine karar verilen yatırım projeleri için, Ar-Ge destekleri ve/veya üretime yönelik yatırım destekleri tek pencere uygulaması çerçevesinde tanımlanır. (2) Bu Program kapsamında desteklenmesine karar verilen projeler; ilgili TÜBİTAK destek programı kapsamında TÜBİTAK tarafından, KOSGEB Stratejik Ürün Destek Programı kapsamında KOSGEB tarafından, (Değişik ibare:RG-9/7/2025-32951) 9903 sayılı Karar veya 2016/9495 sayılı Karar hükümleri çerçevesinde Bakanlık tarafından sağlanan desteklerden yararlandırılabilir. (3) İkinci fıkrada belirtilen destekler, KOSGEB, TÜBİTAK ve Bakanlık tarafından ilgili kurumların kendi mevzuatı çerçevesinde uygulanır. Projelerin hangi destek unsurlarından yararlandırılacağı ise ilgili mevzuatta yer alan sınır ve koşullar çerçevesinde kalmak kaydıyla Komite tarafından belirlenir. Komitenin destek kararları KOSGEB, TÜBİTAK ve Bakanlık yatırım teşvikleri açısından bağlayıcı niteliktedir. Program kapsamında yatırımlara sağlanacak Bakanlık destekleri"
15,,"– (Değişik:RG-27/4/2021-31467) (1) (Değişik:RG-9/7/2025-32951) Programa kesin başvurusu tamamlanan yatırım projeleri için Komite tarafından, 9903 sayılı Karar veya 2016/9495 sayılı Karar kapsamında destek verilmesine dair değerlendirme yapılır. (2) (Değişik:RG-9/7/2025-32951) Komite, Program kapsamında desteklenmesine karar verdiği yatırım projelerinden, nitelikleri ve destek ihtiyaçlarına istinaden uygun gördüklerinin, 9903 sayılı Karar kapsamında Teknoloji Hamlesi Programı çerçevesinde desteklenmesine karar verebilir. (3) (Değişik:RG-26/7/2024-32613) Program kapsamında Komite tarafından desteklenmesine karar verilen yatırım projelerinden, ilgili karardaki gerekli koşulları sağlayan ve nitelikleri ve destek ihtiyaçlarına istinaden Komite tarafından uygun bulunanlar, ayrı bir başvuru ve değerlendirmeye gerek olmaksızın 17/10/2016 tarihli ve 2016/9495 sayılı Yatırımlara Proje Bazlı Devlet Yardımı Verilmesine İlişkin Bakanlar Kurulu Kararı kapsamında desteklenmesi için TUYSGM tarafından Cumhurbaşkanı onayına sunulur ve Cumhurbaşkanı tarafından desteklenmesi uygun bulunan yatırım projeleri için Cumhurbaşkanı kararı yayımlanır. (4) (Değişik:RG-9/7/2025-32951) İkinci fıkra kapsamında Komite tarafından ve üçüncü fıkra kapsamında Cumhurbaşkanı kararıyla desteklenmesine karar verilen yatırım projeleri için ayrı bir başvuru ve değerlendirmeye gerek olmaksızın TUYSGM tarafından teşvik belgesi düzenlenir. Komite tarafından teşvik belgesi başlangıç tarihinin kesin başvuru tarihi olmasının uygun görüldüğü durumlarda; başvuru tarihi ile teşvik belgesinin düzenlenme tarihi arasında geçen süre, proje için Komite tarafından uygun görülen süreye ilave edilerek teşvik belgesinin süresi belirlenir. Teşvik belgesi kapsamında sağlanacak devlet yardımlarına ilişkin iş ve işlemler, ilgili mevzuat çerçevesinde TUYSGM tarafından yürütülür. Program kapsamında sağlanacak TÜBİTAK destekleri"
16,,"– (Değişik:RG-27/4/2021-31467) (1) Program kapsamında Ar-Ge destekleri TÜBİTAK tarafından, ilgili TÜBİTAK destek programı çerçevesinde sağlanır. (2) Kesin başvurusu tamamlanmış projelerden Ar-Ge ihtiyacı olanlar, ilgili mevzuatında öngörülen usul ve esaslar çerçevesinde TÜBİTAK tarafından değerlendirmeye tabi tutulur. TÜBİTAK tarafından Ar-Ge desteği sağlanabilecek projeler, Genel Müdürlüğe bildirilir. Komite, TÜBİTAK’ın olumlu görüş verdiği projelerden bir kısmı veya tamamı için Ar-Ge desteği kararı alabilir. (3) TÜBİTAK’ın Ar-Ge desteği sağlamayı uygun bulmadığı projeler için, TÜBİTAK destekleri Komite tarafından tanımlanamaz. Ancak Komite bu projelere ilişkin, gerekli gördüğü Ar-Ge faaliyetlerinin yatırımcı tarafından kendi kaynaklarıyla yürütülmesini, Program kapsamındaki diğer destek unsurlarının kullandırılması için şart koşabilir. (4) Bir veya daha fazla Ar-Ge yüklenicisiyle ortaklı Ar-Ge yapılması planlanan projeler için Komitenin Ar-Ge desteği tanımlaması durumunda, ilgili TÜBİTAK destek programı hükümleri çerçevesinde, ortaklı Ar-Ge sürecine dahil olan yatırımcı ve/veya Ar-Ge yüklenicilerine destek sağlanır. Program kapsamında sağlanacak KOSGEB destekleri"
17,YEDİNCİ BÖLÜM(8),"– (1) (Değişik:RG-26/7/2024-32613) Yatırımcının KOBİ olduğu yatırım projeleri yatırımcının talebi doğrultusunda, KOSGEB tarafından Stratejik Ürün Destek Programı hükümleri çerçevesinde sağlanan desteklerden yararlandırılabilir. (2) (Değişik:RG-19/6/2020-31160) Komite, KOSGEB tarafından sağlanacak destek kalemleri ve miktarlarını, ilgili mevzuatta yer alan sınırlar çerçevesinde belirleyebilir. Komitenin aldığı destek kararı, KOSGEB tarafından kendi ilgili mevzuatı çerçevesinde ayrı bir değerlendirme yapılmaksızın uygulanır. (3) (Değişik:RG-19/6/2020-31160) KOSGEB desteklerinin Komite tarafından tanımlanması için başvuruda bulunacak KOBİ’lerin, 5/8/2009 tarihli ve 2009/15431 sayılı Bakanlar Kurulu Kararıyla yürürlüğe konulan KOSGEB Tarafından Verilecek Hizmetler ve Desteklerden Yararlanacak Küçük ve Orta Büyüklükteki İşletmelere İlişkin Sektörel ve Bölgesel Önceliklerin Belirlenmesi Hakkında Karar ile tespit edilen sektörlerde faaliyet göstermesi şartı aranır. İzleme, Revizyon, Sonlandırma ve Tamamlama İzleme"
18,,"– (Değişik:RG-26/7/2024-32613) (1) Destek kapsamına alınan her bir projenin izlemesi, Ar-Ge ve/veya üretime yönelik yatırım faaliyetleri süresince ve bu faaliyetlerin tamamlanmasını müteakiben olmak üzere iki aşamalı yapılır. Her bir projenin izlemesi ve değerlendirmesi, sağlanan destek unsurlarının mahiyetine göre, TUYSGM, TÜBİTAK ve/veya KOSGEB tarafından yapılır ve ilgili belgeler Program Portaline yüklenir. (2) (Değişik:RG-9/7/2025-32951) Yatırım sürecinde teşvik belgeli yatırımcıların yerinde incelemesi yılda bir kez TUYSGM tarafından yapılır veya 9903 sayılı Karar kapsamında tamamlama ekspertizi için görevlendirilen kurum ve kuruluşlara yaptırılır. İlgili projeden sorumlu olan proje koordinatörü de izleme döneminde yerinde inceleme çalışmalarına gözlemci sıfatıyla katılım sağlayabilir. 9903 sayılı Karar kapsamında yatırım ilerleme raporunun sunulmuş olması bu Tebliğ kapsamındaki izleme gerekliliklerini ortadan kaldırmaz. Ancak ilgili izleme döneminde ibraz edilmiş olan yatırım ilerleme raporu da hazırlanan izleme belgesi ile birlikte TUYSGM tarafından Genel Müdürlüğe iletilir. (3) Program kapsamında destek kararı alınmış projeler için Ar-Ge ve üretime yönelik yatırım süreleri ayrı ayrı değerlendirilir. Ar-Ge ve üretime yönelik yatırım süreçlerinde yaşanan gecikmeler birbirini etkilemez ve yatırımcının talep etmesi halinde, projelere ilişkin değerlendirme süreçlerinde geçen süreler, TUYSGM, TÜBİTAK ve/veya KOSGEB tarafından  ilgili mevzuatlarında yer alan hükümler çerçevesinde söz konusu projenin Ar-Ge ve üretime yönelik yatırım sürelerine eklenebilir. (4) Proje koordinatörü tarafından, TUYSGM, TÜBİTAK ve/veya KOSGEB tarafından yapılan izlemelerde sunulan bilgi ve belgeler dikkate alınarak yılda bir kez temel proje ilerleme bilgilerini içeren proje izleme formu hazırlanır. (5) İzleme süreci içerisinde Genel Müdürlük tarafından yatırımcıdan ek bilgi talep edilebilir. (6) Proje kapsamındaki faaliyetlerin tamamlanmasını müteakiben on yıl süresince projenin sağladığı katma değer tutarı, yatırımcı tarafından yıllık bazda yeminli mali müşavir raporuyla hesaplattırılarak izleyen yılın ilk izleme dönemi içerisinde Genel Müdürlüğe sunulur. (7) Program izleme ve değerlendirme raporu ve özel olarak talep edilmesi halinde proje bazındaki izleme rapor ve bilgileri yılda bir kez Komiteye sunulur. Revizyon"
